id;name;description;rarity;power;hash;hp;weight;integrity;model;texture;spec1;spec1val;spec2;spec2val;;;
ArmorA3;Abacus v3 Armor;Great armor against torpedos, quite usefull even against mediocre armed beam boxships, but quite heavy.;55;0;1;7;9;0;ArmorA3;mtexture;0;0;0;0;;;
ArmorA4;Abacus v4 Armor;The monstrously strong armor able to survive multiple volleys of enemy fire, but extremely heavy weighted.;90;0;1;10;25;0;ArmorA4;mtexture;0;0;0;0;;;
ArmorB1;Barbatus v1 Armor;;110;0;1;4;2;0;ArmorB1;mtexture;0;0;0;0;;;
ArmorB2;Barbatus v2 Armor;;140;0;1;7;8;0;ArmorB2;mtexture;0;0;0;0;;;
ArmorB3;Barbatus v3 Armor;;170;0;1;12;18;0;ArmorB3;mtexture;0;0;0;0;;;
ArmorB4;Barbatus v4 Armor;;220;0;1;18;50;0;ArmorB4;mtexture;0;0;0;0;;;
ArmorC1;Calvus v1 Armor;;250;0;1;6;3;0;ArmorC1;mtexture;0;0;0;0;;;
ArmorC2;Calvus v2 Armor;;300;0;1;12;7;0;ArmorC2;mtexture;0;0;0;0;;;
ArmorC3;Calvus v3 Armor;;350;0;1;18;10;0;ArmorC3;mtexture;0;0;0;0;;;
ArmorC4;Calvus v4 Armor;;400;0;1;30;50;0;ArmorC4;mtexture;0;0;0;0;;;
;;;;;;;;;;;;;;;;;
changes made;;all rarities reworked to elo rating, added beta and gamma class;;;;;;;;;;;;;;;
notes;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;; ;;;;;;;;;
;;;;;; ; ;;;;;;;;
;;;; ;;;;; ;;;;;;
;;; ;;; ;;;; ;;;;
;;;; ;; ;;; ;;;;;
;;;;; ;;;; ;;;;;;
;;;;;; ;; ;;;;;;;
;;;;;;; ;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
